2023-04-17 23-20-35 top info:
Tasks: 781 total,   1 running, 780 sleeping,   0 stopped,   0 zombie
  Mem:  7703324K total,  7114480K used,   588844K free,   5079040 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2623824K cached
800%cpu 130%user   0%nice 212%sys 458%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
    24 root         RT   0    0    0    0 S  0.0   0.0   0:01.30 [migration/3]
    23 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/3]
    22 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0H]
    20 root         20   0    0    0    0 S  0.0   0.0   0:01.41 [ksoftirqd/2]
    19 root         RT   0    0    0    0 S  0.0   0.0   0:01.46 [migration/2]
    18 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/2]
    17 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:0H]
    15 root         20   0    0    0    0 S  0.0   0.0   0:01.31 [ksoftirqd/1]
    14 root         RT   0    0    0    0 S  0.0   0.0   0:01.81 [migration/1]
    13 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/1]
    12 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/0]
    11 root         RT   0    0    0    0 S  0.0   0.0   0:02.26 [migration/0]
    10 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [rcu_bh]
     9 root         20   0    0    0    0 I  0.0   0.0   0:02.05 [rcu_sched]
     8 root         20   0    0    0    0 I  0.0   0.0   0:18.33 [rcu_preempt]
     7 root         20   0    0    0    0 S  0.0   0.0   0:01.42 [ksoftirqd/0]
     6 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mm_percpu_wq]
     4 root          0 -20    0    0    0 I  0.0   0.0   0:01.90 [kworker/0:0H]
     2 root         20   0    0    0    0 S  0.0   0.0   0:01.62 [kthreadd]
     1 root         20   0 2.1G 7.5M 5.4M S  0.0   0.1   0:04.45 init second_stage


2023-04-17 23-22-05 top info:
Tasks: 789 total,   1 running, 785 sleeping,   0 stopped,   3 zombie
  Mem:  7703324K total,  7412244K used,   291080K free,   5046272 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2587872K cached
800%cpu 120%user  13%nice 113%sys 550%idle   3%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 10899 u0_a383      30  10  14G 708M 432M S 76.6   9.4   0:49.93 com.nio.pe.niopower
  1355 system       18  -2  12G 434M 307M S 53.3   5.7  15:24.23 system_server
  9206 shell        20   0 2.2G 5.8M 5.1M S 16.6   0.0   0:28.93 adbd --root_seclabel=u:r:su:s0
 11747 shell        20   0 2.0G 4.8M 3.7M R 13.3   0.0   0:00.06 top -b -n 1 -d 30
 11074 u0_i9007     20   0 1.5G 144M 112M S  6.6   1.9   0:02.55 com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0
 10845 shell        20   0 4.2G 104M  84M S  3.3   1.3   0:00.69 com.android.commands.monkey
  7396 root          0 -20    0    0    0 I  3.3   0.0   0:08.26 [kworker/u17:2]
 19738 root         20   0    0    0    0 I  3.3   0.0   0:07.58 [kworker/u16:6]
  2010 u0_a62       20   0 7.4G 303M 236M S  3.3   4.0   4:04.56 com.android.systemui
   988 system       20   0 2.0G 5.7M 5.1M S  3.3   0.0   0:49.31 android.hardware.sensors@2.0-service-mediatek
   718 system       -3  -8 2.9G  50M  43M S  3.3   0.6   5:01.16 surfaceflinger
   638 system       20   0 2.0G 3.7M 3.7M S  3.3   0.0   0:03.26 android.hardware.memtrack@1.0-service
   636 system       -3 -10 2.3G  13M  12M S  3.3   0.1   3:13.56 android.hardware.graphics.composer@2.2-service
   509 logd         18  -2 2.2G 9.3M 3.6M S  3.3   0.1   0:56.31 logd
   224 root         RT   0    0    0    0 D  3.3   0.0   0:27.83 [chre_kthread]
   189 root         20   0    0    0    0 S  3.3   0.0   0:18.50 [pbm]
     8 root         20   0    0    0    0 I  3.3   0.0   0:18.43 [rcu_preempt]
 11661 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:3]
 11355 u0_a383      20   0    0    0    0 Z  0.0   0.0   0:00.03 [work_thread]
 11343 u0_a383      20   0    0    0    0 Z  0.0   0.0   0:00.04 [ZIDThreadPoolEx]
 11193 shell        20   0 2.0G 3.5M 2.9M S  0.0   0.0   0:00.26 logcat -v threadtime -b all
 11140 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 10978 u0_a383      10 -10    0    0    0 Z  0.0   0.0   0:00.01 [getprop]
 10500 system       20   0 5.0G  83M  69M S  0.0   1.1   0:00.18 com.iqoo.powersaving
 10494 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:3]
  9592 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:1]
  9513 u0_a172      20   0 5.0G  79M  64M S  0.0   1.0   0:00.39 com.google.android.configupdater
  9212 root         20   0    0    0    0 I  0.0   0.0   0:01.29 [kworker/u16:7]
  9202 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/6:1]
  9150 u0_a174      20   0 5.1G  88M  73M S  0.0   1.1   0:00.16 com.google.process.gapps
  9133 root          0 -20    0    0    0 I  0.0   0.0   0:03.86 [kworker/u17:4]
  9079 root         20   0    0    0    0 I  0.0   0.0   0:01.93 [kworker/4:4]
  8501 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/u16:3]
  8479 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/u16:1]
  8436 system       20   0 5.1G  87M  71M S  0.0   1.1   0:00.12 com.vivo.car.networking:vivopermisson
  8380 system       20   0 5.5G 112M  89M S  0.0   1.4   0:00.76 com.vivo.car.networking
  8365 root         20   0    0    0    0 I  0.0   0.0   0:00.01 [kworker/7:0]
  8357 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:4]
  8347 root         20   0    0    0    0 I  0.0   0.0   0:00.30 [kworker/5:2]
  8295 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:3]
  7167 u0_a160      20   0 5.5G 126M 102M S  0.0   1.6   0:01.36 com.bbk.appstore
  6584 root         20   0    0    0    0 I  0.0   0.0   0:00.22 [kworker/4:3]
  6473 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:3]
  6446 root         20   0    0    0    0 I  0.0   0.0   0:00.16 [kworker/4:2]
  6336 root         20   0    0    0    0 I  0.0   0.0   0:01.48 [kworker/2:0]
  6106 root         20   0    0    0    0 I  0.0   0.0   0:01.97 [kworker/1:1]
  6098 root          0 -20    0    0    0 I  0.0   0.0   0:09.13 [kworker/u17:0]
  5836 u0_a103      20   0 5.3G 106M  88M S  0.0   1.4   0:02.17 com.iqoo.secure
  5568 u0_a52       20   0 5.1G  88M  72M S  0.0   1.1   0:00.37 com.android.packageinstaller
  5541 root         20   0    0    0    0 I  0.0   0.0   0:00.61 [kworker/5:0]
  5533 root         20   0    0    0    0 I  0.0   0.0   0:00.05 [kworker/6:0]
  5324 root         20   0    0    0    0 I  0.0   0.0   0:02.91 [kworker/3:3]
  5212 u0_a94       20   0 5.0G  97M  83M S  0.0   1.2   0:02.01 com.vivo.cipherchain
  5051 root         20   0    0    0    0 I  0.0   0.0   0:02.16 [kworker/u16:0]
  4909 root         20   0    0    0    0 I  0.0   0.0   0:01.59 [kworker/0:2]
  4837 root         20   0 2.0G 3.6M 2.8M S  0.0   0.0   0:00.22 iptables-restore --noflush -w -v
  4835 root         20   0    0    0    0 I  0.0   0.0   0:00.25 [kworker/4:0]
  4719 root         20   0 2.0G 3.8M 2.9M S  0.0   0.0   0:00.17 ip6tables-restore --noflush -w -v
  4527 root         20   0    0    0    0 I  0.0   0.0   0:00.33 [kworker/1:0]
  4366 u0_a214      20   0 5.7G 123M 100M S  0.0   1.6   0:04.50 com.vivo.game
  4324 u0_a99       20   0 5.2G  86M  73M S  0.0   1.1   0:00.83 com.vivo.aiservice:ir
  4294 system       20   0 5.1G  86M  74M S  0.0   1.1   0:00.25 com.vivo.gamecube
  4239 shell        20   0 5.0G  79M  66M S  0.0   1.0   0:00.21 com.android.shell
  4173 u0_a92       20   0 5.0G  82M  69M S  0.0   1.0   0:00.21 com.vivo.deformer
  4010 u0_a59       20   0 5.0G  80M  68M S  0.0   1.0   0:00.19 com.android.externalstorage
  3830 u0_a79       20   0 5.0G  90M  74M S  0.0   1.1   0:00.45 com.android.documentsui
  3813 root          0 -20    0    0    0 I  0.0   0.0   0:11.83 [kworker/u17:6]
  3811 root          0 -20    0    0    0 I  0.0   0.0   0:11.45 [kworker/u17:5]
  3806 root          0 -20    0    0    0 I  0.0   0.0   0:04.80 [kworker/u17:1]
  3512 root         20   0    0    0    0 I  0.0   0.0   0:01.88 [kworker/2:2]
  3421 root         20   0    0    0    0 I  0.0   0.0   0:00.14 [kworker/4:1]
  3409 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/5:1]
  2440 u0_a65       20   0 5.3G 102M  85M S  0.0   1.3   0:00.94 android.process.media
  2318 u0_a196      20   0 5.0G  67M  57M S  0.0   0.8   0:00.11 com.vivo.timerwidget
  2223 u0_a154      20   0 5.1G  85M  74M S  0.0   1.1   0:00.22 com.vivo.widget.gallery
  2144 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  1942 u0_a158      20   0 6.2G 151M 134M S  0.0   2.0   0:02.51 com.vivo.hiboard
  1908 u0_a126      20   0 5.5G 131M 107M S  0.0   1.7   0:05.43 com.vivo.globalsearch
  1760 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  1543 u0_a144      20   0 5.2G 119M 103M S  0.0   1.5   0:01.14 com.vivo.musicwidgetmix
  1302 u0_a199      20   0 5.1G  83M  70M S  0.0   1.0   0:00.16 com.vivo.widget.calendar
  1190 u0_a129      20   0 5.1G  98M  83M S  0.0   1.2   0:00.21 com.bbk.theme.useinstructions
  1140 u0_a216      20   0 5.1G  97M  83M S  0.0   1.2   0:00.56 com.vivo.doubletimezoneclock
   747 u0_a129      20   0 5.2G 108M  92M S  0.0   1.4   0:00.69 com.bbk.theme
   615 u0_a90       20   0 5.0G  79M  66M S  0.0   1.0   0:00.34 com.vivo.xspace
 32754 u0_a91       20   0 5.0G  70M  59M S  0.0   0.9   0:00.07 com.android.carrierdefaultapp
 32723 u0_a159      20   0 7.8G 299M 228M S  0.0   3.9   0:39.75 com.bbk.launcher2
 32696 system       20   0 6.3G 129M 109M S  0.0   1.7   0:06.01 com.vivo.assistant
 32675 u0_a95       20   0 5.0G  87M  74M S  0.0   1.1   0:00.12 com.android.BBKClock
 32673 root         20   0    0    0    0 I  0.0   0.0   0:00.05 [kworker/7:1]
 32650 root          0 -20    0    0    0 I  0.0   0.0   0:03.99 [kworker/u17:9]
 32146 u0_a71       20   0  37G 9.4M 9.4M S  0.0   0.1   0:00.28 libweexjsb.so 316 317 1 /data/user/0/com.vivo.browser/app_crash/crash_dump.log
 31840 u0_a204      20   0 5.2G  93M  81M S  0.0   1.2   0:00.57 com.vivo.puresearch
 31723 u0_a378      20   0 5.4G  98M  83M D  0.0   1.3   0:02.39 com.geega.livan.livan
 31609 u0_a127      20   0 5.0G  88M  75M S  0.0   1.1   0:00.35 com.vivo.vivo3rdalgoservice
 31572 u0_a140      20   0 5.8G  95M  79M S  0.0   1.2   0:00.45 com.android.camera
 31223 u0_a242      20   0 6.0G  90M  83M S  0.0   1.2   0:01.40 com.eg.android.AlipayGphone:tools
 31112 u0_a242       0 -20 7.3G 155M 142M S  0.0   2.0   0:07.09 com.eg.android.AlipayGphone
 31061 u0_a242      20   0 6.6G 128M 121M S  0.0   1.6   0:09.00 com.eg.android.AlipayGphone:push
 31029 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 30843 u0_a210      20   0 5.2G 115M  99M S  0.0   1.5   0:01.13 com.android.notes
 30766 u0_a162      20   0 5.1G  98M  82M S  0.0   1.3   0:00.81 com.bbk.cloud
 30692 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 30631 u0_a154      20   0 5.5G 117M 102M S  0.0   1.5   0:03.86 com.vivo.gallery
 30484 u0_a174      20   0 5.5G 153M 129M S  0.0   2.0   0:01.42 com.google.android.gms.unstable
 30115 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [sugov:7]
 29380 root         20   0    0    0    0 I  0.0   0.0   0:05.41 [kworker/0:0]
 29122 u0_a253      20   0 6.4G 128M 109M S  0.0   1.7   0:04.46 com.smile.gifmaker:push_v3
 29084 u0_a213      20   0 5.1G  73M  65M S  0.0   0.9   0:00.40 com.google.android.syncadapters.contacts
 29076 root          0 -20    0    0    0 I  0.0   0.0   0:04.62 [kworker/u17:3]
 29054 radio        20   0 5.0G  76M  70M S  0.0   1.0   0:00.20 com.vivo.sim.contacts
 28980 u0_a55       20   0 5.1G  97M  82M S  0.0   1.2   0:02.19 android.process.acore
 28959 u0_a74       20   0 5.2G 101M  90M S  0.0   1.3   0:00.93 com.android.mms:smartsms
 28904 u0_a74       20   0 5.4G 113M 104M S  0.0   1.5   0:01.47 com.android.mms
 28309 u0_a203      20   0 5.6G  82M  73M S  0.0   1.0   0:00.34 com.vivo.weather
 28013 root         20   0    0    0    0 I  0.0   0.0   0:02.80 [kworker/u16:5]
 27996 root         20   0    0    0    0 I  0.0   0.0   0:02.51 [kworker/1:2]
 27964 root         20   0    0    0    0 I  0.0   0.0   0:00.05 [kworker/6:2]
 27934 root         20   0    0    0    0 I  0.0   0.0   0:03.70 [kworker/u16:2]
 27114 u0_a53       20   0 5.0G  75M  66M S  0.0   1.0   0:00.44 com.android.providers.calendar
 26607 system       20   0 5.2G  84M  78M S  0.0   1.1   0:00.44 com.android.bbklog
 25110 root         20   0    0    0    0 I  0.0   0.0   0:07.81 [kworker/u16:9]
 24698 system       20   0 5.0G  78M  72M S  0.0   1.0   0:00.35 com.mobile.cos.iroaming
 24473 u0_a147      20   0 5.1G  88M  83M S  0.0   1.1   0:00.80 com.vivo.findphone
 22808 root         20   0    0    0    0 I  0.0   0.0   0:09.17 [kworker/3:2]
 22463 u0_a99       20   0 5.3G 102M  86M S  0.0   1.3   0:04.06 com.vivo.aiservice
 22178 u0_a222      20   0 5.2G  84M  72M S  0.0   1.1   0:01.28 com.vivo.widgetweather
 21556 system       20   0 5.4G 112M  98M S  0.0   1.4   0:02.37 com.vivo.aiengine:persona
 21194 u0_a214      20   0 5.1G  83M  76M S  0.0   1.1   0:00.78 com.vivo.game:reserve
 20983 u0_a174      20   0 5.2G 107M 100M S  0.0   1.4   0:00.81 com.google.android.gms.ui
 20896 system       20   0 5.1G  77M  69M S  0.0   1.0   0:00.24 com.android.keychain
 20575 u0_a130      20   0 5.3G 103M  88M S  0.0   1.3   0:03.73 com.vivo.weather.provider
 19663 u0_a264      20   0 6.0G 133M 118M S  0.0   1.7   0:04.62 com.xunmeng.pinduoduo:lifecycle
 18987 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 18855 root         20   0    0    0    0 I  0.0   0.0   0:00.09 [kworker/7:2]
 17104 root          0 -20    0    0    0 I  0.0   0.0   0:00.83 [kworker/1:2H]
 16352 root         20   0    0    0    0 I  0.0   0.0   0:08.26 [kworker/u16:4]
 16340 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fs_suspend_syss]
 15390 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 15358 u0_a106      20   0 5.4G 130M 124M S  0.0   1.7   0:03.78 com.vivo.secime.service
 15291 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 13443 u0_a148      20   0 5.3G  84M  75M S  0.0   1.1   0:00.51 com.vivo.familycare.local
 11229 u0_a116      20   0 5.1G  68M  61M S  0.0   0.8   0:00.25 com.tencent.soter.soterserver
 10137 u0_a145      20   0  37G 1.8M 1.8M S  0.0   0.0   0:00.32 libweexjsb.so 114 115 1 /data/user/0/com.vivo.space/app_crash/crash_dump.log
 10082 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  9985 u0_i9001     20   0  10G 110M 100M S  0.0   1.4   0:03.01 com.vivo.browser:vivo_sandboxed_process0:org.chromium.content.app.VivoSandboxedProcessService0:0
  9930 u0_a177      20   0 1.4G  75M  66M S  0.0   1.0   0:00.55 com.google.android.webview:webview_service
  9739 u0_a145      20   0 6.0G 113M 107M S  0.0   1.5   0:05.68 com.vivo.space
  8879 system       20   0 2.0G 3.2M 2.5M S  0.0   0.0   0:00.08 wifi_dump
  8875 system       20   0 2.0G 3.3M 2.6M S  0.0   0.0   0:00.08 bt_dump
  8771 u0_a264      20   0 6.3G 137M 114M S  0.0   1.8   0:55.27 com.xunmeng.pinduoduo:titan
  8753 u0_a365      20   0 7.1G 155M 117M S  0.0   2.0   0:31.22 com.tencent.mm
  8699 u0_a365      20   0 7.3G 143M 112M S  0.0   1.9   0:37.41 com.tencent.mm:push
  8441 system       20   0 5.1G  78M  73M S  0.0   1.0   0:00.61 com.vivo.contentcatcher
  8298 system       20   0 5.1G  90M  81M S  0.0   1.2   0:03.50 com.vivo.contentcatcher:persist
  8118 system       20   0 5.0G  75M  71M S  0.0   0.9   0:00.19 com.vivo.audiofx
  7630 u0_a173      20   0 5.8G 114M  96M S  0.0   1.5   0:07.06 com.android.vending
  7565 u0_a67       20   0 5.5G 152M 137M S  0.0   2.0   0:20.56 com.android.permissioncontroller
  7269 system       20   0 5.0G  72M  67M S  0.0   0.9   0:00.16 com.iqoo.powersaving:daemon
  7218 bluetooth    20   0 5.5G 100M  88M S  0.0   1.3   0:03.10 com.android.vivo.tws.vivotws
  7139 system       20   0 5.2G  85M  78M S  0.0   1.1   0:00.28 com.vivo.voicewakeup
  6649 u0_a88       20   0 5.4G  96M  86M S  0.0   1.2   0:04.95 com.vivo.safecenter
  6629 u0_a103      20   0 6.0G 117M  96M S  0.0   1.5   0:19.44 com.iqoo.secure:remote
  6341 u0_a83       20   0 5.9G 209M 185M S  0.0   2.7   0:21.76 com.sohu.inputmethod.sogou.vivo
  6089 radio        20   0 5.4G 103M  92M S  0.0   1.3   0:02.95 com.vivo.devicereg
  5626 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  5385 u0_a71       16  -4 7.6G 182M 164M S  0.0   2.4   0:22.48 com.vivo.browser
  4986 u0_a174      20   0 6.0G 168M 134M S  0.0   2.2   0:36.08 com.google.android.gms
  4829 u0_a174      20   0 5.2G  88M  77M S  0.0   1.1   0:05.07 com.google.process.gservices
  4715 u0_a72       20   0 5.3G 103M  86M S  0.0   1.3   0:07.37 com.amap.android.location
  4634 system       20   0 5.7G 104M  90M S  0.0   1.3   0:05.79 com.vivo.connbase
  4604 nfc          20   0 5.6G 156M 138M S  0.0   2.0   0:03.48 com.android.nfc
  4564 u0_a0        20   0 5.4G 111M  97M S  0.0   1.4   0:10.22 com.android.providers.media.module
  4409 system       20   0 2.0G 3.1M 2.5M S  0.0   0.0   0:00.11 batterywarning
  4403 root         20   0 2.0G 4.5M 3.7M S  0.0   0.0   0:00.12 atcid_vendor -socket
  4255 u0_a100      20   0 5.6G 106M  95M S  0.0   1.4   0:02.32 com.vivo.magazine
  4216 radio        20   0 5.1G  69M  65M S  0.0   0.9   0:00.12 com.volte.config
  4138 radio        20   0 5.4G  88M  81M S  0.0   1.1   0:01.01 com.mediatek.ims
  4113 u0_a174      20   0 5.7G 163M 125M S  0.0   2.1   0:20.45 com.google.android.gms.persistent
  4051 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  4029 u0_a141      20   0 5.6G  96M  86M S  0.0   1.2   0:04.15 com.bbk.updater
  3701 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  3592 u0_a141      20   0 5.1G  90M  84M S  0.0   1.2   0:00.70 com.bbk.updater:remote
  3485 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  3413 system       20   0 5.1G  79M  71M S  0.0   1.0   0:00.19 com.vivo.doubleinstance
  3193 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [workqueue_task]
  3192 root         20   0    0    0    0 S  0.0   0.0   0:00.13 [bt_tx_ps]
  3189 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dpidle_task]
  3102 system       20   0 5.3G 100M  87M S  0.0   1.3   0:01.23 com.vivo.gamecube:daemon
  3059 u0_a187      20   0 5.1G 116M 107M S  0.0   1.5   0:02.07 android.ext.services
  2984 system       20   0 5.1G  77M  70M S  0.0   1.0   0:00.22 com.vivo.smartunlock
  2952 system       20   0 5.8G  97M  84M S  0.0   1.2   0:30.98 com.vivo.sps:rms
  2878 radio        20   0 6.3G 129M 108M S  0.0   1.7   0:42.81 com.android.phone
  2835 system       20   0 5.4G  99M  84M S  0.0   1.3   0:03.57 com.vivo.gamewatch
  2800 system       20   0 6.0G 152M 135M S  0.0   2.0   0:08.96 com.vivo.upslide
  2772 secure_element 20 0 5.0G  67M  63M S  0.0   0.8   0:00.10 com.android.se
  2735 system       20   0 5.3G 132M 111M S  0.0   1.7   0:02.15 com.vivo.globalanimation
  2704 system       20   0 6.0G 120M 103M S  0.0   1.5   0:13.72 com.vivo.daemonService
  2659 system       20   0 6.3G 142M 109M S  0.0   1.8   2:05.78 com.vivo.aiengine
  2625 u0_a155      20   0 5.7G 117M  95M S  0.0   1.5   0:12.05 com.vivo.pushservice
  2593 system       20   0 5.4G  93M  81M S  0.0   1.2   0:02.27 com.vivo.epm
  2475 system       20   0 5.6G 115M  97M S  0.0   1.5   0:05.79 com.vivo.smartmultiwindow
  2474 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  2434 system       20   0 5.0G  84M  76M S  0.0   1.1   0:01.81 com.vivo.fingerprintui:fingerprintui_public
  2390 system       20   0 5.7G 129M 101M S  0.0   1.7   0:31.70 com.vivo.pem
  2313 webview_zygote 20 0 1.8G  31M  29M S  0.0   0.4   0:00.17 webview_zygote
  2294 u0_a194      20   0 5.5G 148M 132M S  0.0   1.9   0:03.80 com.vivo.livewallpaper.ocean
  2240 system       20   0 5.4G  98M  85M S  0.0   1.3   0:01.70 com.vivo.vms
  2198 system       20   0 5.4G  88M  80M S  0.0   1.1   0:04.42 com.vivo.fingerprintui
  2098 u0_a142      20   0 5.6G 100M  86M S  0.0   1.3   0:08.77 com.bbk.iqoo.logsystem
  1966 bluetooth    20   0 6.0G 107M  99M S  0.0   1.4   0:07.59 com.android.bluetooth
  1933 system       20   0 7.0G 134M 105M S  0.0   1.7   0:22.57 com.vivo.abe
  1888 system       20   0 5.2G  81M  75M S  0.0   1.0   0:00.24 com.vivo.faceui
  1882 system       20   0 5.6G 102M  85M S  0.0   1.3   0:46.58 com.vivo.sps
  1881 wifi         20   0 2.0G  12M  11M S  0.0   0.1   0:02.53 wpa_supplicant -O/data/vendor/wifi/wpa/sockets -dd -g@android:wpa_wlan0
  1876 root         10 -10    0    0    0 S  0.0   0.0   0:59.14 [rx_thread]
  1875 root         10 -10    0    0    0 S  0.0   0.0   1:26.94 [hif_thread]
  1874 root         10 -10    0    0    0 S  0.0   0.0   1:12.96 [main_thread]
  1858 wifi         20   0 2.0G 6.7M 6.4M S  0.0   0.0   0:03.28 android.hardware.wifi@1.0-service-lazy
  1628 root         RT   0    0    0    0 S  0.0   0.0   0:00.07 [tcpc_event_type]
  1621 root         20   0    0    0    0 I  0.0   0.0   0:10.95 [kworker/u16:21]
  1456 radio        20   0 3.3G  14M  13M S  0.0   0.1   0:07.33 mtkfusionrild -l libmtk-ril.so
  1382 radio        20   0  39M 836K 836K S  0.0   0.0   0:03.87 gsm0710muxd -s /dev/ttyC0 -f 512 -n 8 -m basic
  1380 shell        20   0 2.1G 3.3M 3.3M S  0.0   0.0   0:00.41 emdlogger1
  1347 root         20   0    0    0    0 S  0.0   0.0   0:00.03 [rpmb_gp_Dci]
  1255 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  1208 root         30  10    0    0    0 S  0.0   0.0   1:08.87 [zram0_wbd]
  1205 root         20   0    0    0    0 S  0.0   0.0   0:00.74 [file-storage]
  1204 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [wlan_rst_thread]
  1188 root         20   0    0    0    0 S  0.0   0.0   0:00.14 [mtk_wland_threa]
  1187 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx15_worker]
  1186 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx14_worker]
  1185 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx13_worker]
  1184 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx12_worker]
  1183 root         RT   0    0    0    0 S  0.0   0.0   0:00.24 [irq/468-gps_dma]
  1182 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/467-gps_mb1]
  1172 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx11_worker]
  1171 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/466-gps_nd1]
  1170 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/465-gps_da1]
  1169 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/464-gps_mb0]
  1167 root         RT   0    0    0    0 S  0.0   0.0   0:00.05 [irq/463-gps_nd0]
  1163 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx10_worker]
  1161 root         RT   0    0    0    0 S  0.0   0.0   0:00.09 [irq/462-gps_da0]
  1158 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/27-gf]
  1154 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx9_worker]
  1153 root         20   0    0    0    0 S  0.0   0.0   0:00.52 [gps_kctrld]
  1151 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx8_worker]
  1142 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_eint_wq]
  1139 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_timer_wq]
  1134 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx7_worker]
  1084 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx6_worker]
  1083 system       20   0 2.1G 7.0M 6.8M S  0.0   0.0   0:00.18 vendor.vivo.hardware.biometrics.fingerprint@3.0-service
  1079 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx5_worker]
  1078 system       20   0 2.0G 6.1M 6.1M S  0.0   0.0   0:00.05 vendor.vivo.hardware.biometrics.face@2.0-service
  1076 system       20   0 2.0G 3.5M 3.5M S  0.0   0.0   0:00.02 netdagent
  1068 system       20   0 2.0G 6.7M 6.3M S  0.0   0.0   0:00.07 gatekeeperd /data/misc/gatekeeper
  1063 credstore    20   0 2.0G 7.2M 6.7M S  0.0   0.0   0:00.05 credstore /data/misc/credstore
  1059 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx4_worker]
  1054 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx3_worker]
  1053 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rx2_worker]
  1051 mediacodec   20   0 2.2G  15M  15M S  0.0   0.2   0:00.44 media.swcodec oid.media.swcodec/bin/mediaswcodec
  1050 wifi         20   0 2.0G 2.4M 2.4M S  0.0   0.0   0:00.09 wlan_assistant
  1047 media        20   0  22M 5.3M 4.1M S  0.0   0.0   0:01.69 vpud -f
  1044 system       20   0 2.0G 4.4M 4.4M S  0.0   0.0   0:00.06 vendor.vivo.hardware.tam@1.0-service
